AcademicYear,CourseName,Seats
2019/2020,LANDSCAPE ARCHITECTURE,515
2019/2020,LAW,515
2019/2020,MANAGEMENT,515
2019/2020,MANAGEMENT (PUBLIC) SPECIAL,515
2019/2020,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),515
2019/2020,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),515
2019/2020,MANAGEMENT STUDIES (TV) - A [Commerce Stream],515
2019/2020,MANAGEMENT STUDIES (TV) - B [Any subject combination],515
2019/2020,MARINE AND FRESHWATER SCIENCES,515
2019/2020,MEDICAL LABORATORY SCIENCES,515
2019/2020,MEDICINE,515
2019/2020,MINERAL RESOURCES AND TECHNOLOGY,515
2019/2020,MOLECULAR BIOLOGY & BIOCHEMISTRY,515
2019/2020,MUSIC,515
2019/2020,NURSING,515
2019/2020,PALM AND LATEX TECHNOLOGY & VALUE ADDITION,515
2019/2020,PEACE & CONFLICT RESOLUTION,515
2019/2020,PHARMACY,515
2019/2020,PHYSICAL EDUCATION,515
2019/2020,PHYSICAL SCIENCE,515
2019/2020,PHYSICAL SCIENCE -ICT,515
2019/2020,PHYSIOTHERAPY,515
2019/2020,PROJECT MANAGEMENT,515
2019/2020,QUANTITY SURVEYING,515
2019/2020,RADIOGRAPHY,515
2019/2020,SCIENCE AND TECHNOLOGY,515
2019/2020,SIDDHA MEDICINE & SURGERY,515
2019/2020,SOCIAL WORK,515
2019/2020,SOFTWARE ENGINEERING,515
2019/2020,SPEECH AND HEARING SCIENCES,515
2019/2020,SPORTS SCIENCE & MANAGEMENT,515
2019/2020,STATISTICS & OPERATIONS RESEARCH,515
2019/2020,SURVEYING SCIENCE,515
2019/2020,TEA TECHNOLOGY & VALUE ADDITION,515
2019/2020,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),515
2019/2020,TOURISM & HOSPITALITY MANAGEMENT,515
2019/2020,TOWN & COUNTRY PLANNING,515
2019/2020,TRANSLATION STUDIES,515
2019/2020,TRANSPORT & LOGISTICS MANAGEMENT,515
2019/2020,UNANI MEDICINE & SURGERY,515
2019/2020,VETERINARY SCIENCE,515
2019/2020,VISUAL & TECHNOLOGICAL ARTS,515
2019/2020,VISUAL ARTS,515
2020/2021,ACCOUNTING INFORMATION SYSTEMS,530
2020/2021,AGRI BUSINESS MANAGEMENT,530
2020/2021,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,530
2020/2021,AGRICULTURAL TECHNOLOGY & MANAGEMENT,530
2020/2021,AGRICULTURE,530
2020/2021,ANIMAL SCIENCE,530
2020/2021,ANIMAL SCIENCE & FISHERIES,530
2020/2021,APPLIED CHEMISTRY,530
2020/2021,APPLIED SCIENCES (BIO.SC),530
2020/2021,APPLIED SCIENCES (PHY.SC),530
2020/2021,AQUATIC BIORESOURCES,530
2020/2021,AQUATIC RESOURCES TECHNOLOGY,530
2020/2021,ARABIC LANGUAGE,530
2020/2021,ARCHITECTURE,530
2020/2021,ART & DESIGN,530
2020/2021,ARTIFICIAL INTELLIGENCE,530
2020/2021,ARTS,530
2020/2021,ARTS (SAB) - A [Arts Stream],530
2020/2021,ARTS (SAB) - B [Commerce Stream],530
2020/2021,ARTS (SP) / MASS MEDIA,530
2020/2021,ARTS (SP) / PERFORMING ARTS,530
2020/2021,ARTS-INFORMATION TECHNOLOGY,530
2020/2021,AYURVEDIC MEDICINE & SURGERY,530
2020/2021,BIOCHEMISTRY & MOLECULAR BIOLOGY,530
2020/2021,BIOLOGICAL SCIENCE,530
2020/2021,BIOMEDICAL TECHNOLOGY,530
2020/2021,BIOSYSTEMS TECHNOLOGY (BST),530
2020/2021,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),530
2020/2021,BUSINESS SCIENCE,530
2020/2021,COMMERCE,530
2020/2021,COMMUNICATION STUDIES,530
2020/2021,COMPUTER SCIENCE,530
2020/2021,COMPUTER SCIENCE & TECHNOLOGY,530
2020/2021,COMPUTING & INFORMATION SYSTEMS,530
2020/2021,DANCE,530
2020/2021,DENTAL SURGERY,530
2020/2021,DESIGN,530
2020/2021,DRAMA & THEATRE,530
2020/2021,ELECTRONICS AND COMPUTER SCIENCE,530
2020/2021,ENGINEERING,530
2020/2021,ENGINEERING (EM),530
2020/2021,ENGINEERING (TM),530
2020/2021,ENGINEERING TECHNOLOGY (ET),530
2020/2021,ENTREPRENEURSHIP AND MANAGEMENT,530
2020/2021,ENVIRONMENTAL CONSERVATION & MANAGEMENT,530
2020/2021,ESTATE MANAGEMENT & VALUATION,530
2020/2021,EXPORT AGRICULTURE,530
2020/2021,FACILITIES MANAGEMENT,530
2020/2021,FASHION DESIGN & PRODUCT DEVELOPMENT,530
2020/2021,FILM & TELEVISION STUDIES,530
2020/2021,FINANCIAL ENGINEERING,530
2020/2021,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,530
2020/2021,FISHERIES & MARINE SCIENCES,530
2020/2021,FOOD BUSINESS MANAGEMENT,530
2020/2021,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,530
2020/2021,FOOD SCIENCE & NUTRITION,530
2020/2021,FOOD SCIENCE & TECHNOLOGY,530
2020/2021,GEOGRAPHICAL INFORMATION SCIENCE,530
2020/2021,GREEN TECHNOLOGY,530
2020/2021,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY,530
2020/2021,HEALTH PROMOTION,530
2020/2021,HEALTH TOURISM AND HOSPITALITY MANAGEMENT,530
2020/2021,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",530
2020/2021,HUMAN RESOURCE DEVELOPMENT,530
2020/2021,INDIGENOUS MEDICINAL RESOURCES,530
2020/2021,INDIGENOUS PHARMACEUTICAL TECHNOLOGY,530
2020/2021,INDUSTRIAL INFORMATION TECHNOLOGY,530
2020/2021,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,530
2020/2021,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),530
2020/2021,INFORMATION COMMUNICATION TECHNOLOGY,530
2020/2021,INFORMATION SYSTEMS,530
2020/2021,INFORMATION TECHNOLOGY & MANAGEMENT,530
2020/2021,INFORMATION TECHNOLOGY (IT),530
2020/2021,ISLAMIC STUDIES,530
2020/2021,LANDSCAPE ARCHITECTURE,530
2020/2021,LAW,530
2020/2021,MANAGEMENT,530
2020/2021,MANAGEMENT (PUBLIC) HONOURS,530
2020/2021,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),530
2020/2021,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),530
2020/2021,MANAGEMENT STUDIES (TV) - A [Commerce Stream],530
2020/2021,MANAGEMENT STUDIES (TV) - B [Any subject combination],530
2020/2021,MARINE AND FRESHWATER SCIENCES,530
2020/2021,MEDICAL LABORATORY SCIENCES,530
2020/2021,MEDICINE,530
2020/2021,MINERAL RESOURCES AND TECHNOLOGY,530
2020/2021,MUSIC,530
2020/2021,NURSING,530
2020/2021,OCCUPATIONAL THERAPY,530
2020/2021,OPTOMETRY,530
2020/2021,PALM AND LATEX TECHNOLOGY & VALUE ADDITION,530
2020/2021,PEACE & CONFLICT RESOLUTION,530
2020/2021,PHARMACY,530
2020/2021,PHYSICAL EDUCATION,530
2020/2021,PHYSICAL SCIENCE,530
2020/2021,PHYSICAL SCIENCE -ICT,530
2020/2021,PHYSIOTHERAPY,530
2020/2021,PROJECT MANAGEMENT,530
2020/2021,QUANTITY SURVEYING,530
2020/2021,RADIOGRAPHY,530
2020/2021,SCIENCE AND TECHNOLOGY,530
2020/2021,SIDDHA MEDICINE & SURGERY,530
2020/2021,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,530
2020/2021,SOCIAL WORK,530
2020/2021,SOFTWARE ENGINEERING,530
2020/2021,SPEECH AND HEARING SCIENCES,530
2020/2021,SPORTS SCIENCE & MANAGEMENT,530
2020/2021,STATISTICS & OPERATIONS RESEARCH,530
2020/2021,SURVEYING SCIENCE,530
2020/2021,TEA TECHNOLOGY & VALUE ADDITION,530
2020/2021,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),530
2020/2021,TOURISM & HOSPITALITY MANAGEMENT,530
2020/2021,TOWN & COUNTRY PLANNING,530
2020/2021,TRANSLATION STUDIES,530
2020/2021,TRANSPORT & LOGISTICS MANAGEMENT,530
2020/2021,UNANI MEDICINE & SURGERY,530
2020/2021,URBAN BIORESOURCES,530
2020/2021,VETERINARY SCIENCE,530
2020/2021,VISUAL & TECHNOLOGICAL ARTS,530
2020/2021,VISUAL ARTS,530
2020/2021,YOGA AND PARAPSYCHOLOGY,530
2021/2022,ACCOUNTING INFORMATION SYSTEMS,546
2021/2022,AGRI BUSINESS MANAGEMENT,546
2021/2022,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,546
2021/2022,AGRICULTURAL TECHNOLOGY & MANAGEMENT,546
2021/2022,AGRICULTURE,546
2021/2022,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,546
2021/2022,ANIMAL SCIENCE & FISHERIES,546
2021/2022,APPLIED CHEMISTRY,546
2021/2022,APPLIED SCIENCES (BIO.SC),546
2021/2022,APPLIED SCIENCES (PHY.SC),546
2021/2022,AQUATIC BIORESOURCES,546
2021/2022,AQUATIC RESOURCES TECHNOLOGY,546
2021/2022,ARABIC LANGUAGE,546
2021/2022,ARCHITECTURE,546
2021/2022,ART & DESIGN,546
2021/2022,ARTIFICIAL INTELLIGENCE,546
2021/2022,ARTS,546
2021/2022,ARTS (SAB) - A [Arts Stream],546
2021/2022,ARTS (SAB) - B [Commerce Stream],546
2021/2022,ARTS (SP) / MASS MEDIA,546
2021/2022,ARTS (SP) / PERFORMING ARTS,546
2021/2022,ARTS-INFORMATION TECHNOLOGY,546
2021/2022,AYURVEDIC MEDICINE & SURGERY,546
2021/2022,BANKING & INSURANCE,546
2021/2022,BIOCHEMISTRY & MOLECULAR BIOLOGY,546
2021/2022,BIOLOGICAL SCIENCE,546
2021/2022,BIOMEDICAL TECHNOLOGY,546
2021/2022,BIOSYSTEMS TECHNOLOGY (BST),546
2021/2022,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),546
2021/2022,BUSINESS SCIENCE,546
2021/2022,COMMERCE,546
2021/2022,COMMUNICATION STUDIES,546
2021/2022,COMPUTER SCIENCE,546
2021/2022,COMPUTER SCIENCE & TECHNOLOGY,546
2021/2022,COMPUTING & INFORMATION SYSTEMS,546
2021/2022,CREATIVE MUSIC TECHNOLOGY & PRODUCTION,546
2021/2022,DANCE,546
2021/2022,DENTAL SURGERY,546
2021/2022,DESIGN,546
2021/2022,DRAMA & THEATRE,546
2021/2022,ELECTRONICS AND COMPUTER SCIENCE,546
2021/2022,ENGINEERING,546
2021/2022,ENGINEERING (EM),546
2021/2022,ENGINEERING (TM),546
2021/2022,ENGINEERING TECHNOLOGY (ET),546
2021/2022,ENGLISH LANGUAGE & APPLIED LINGUISTICS,546
2021/2022,ENTREPRENEURSHIP AND MANAGEMENT,546
2021/2022,ENVIRONMENTAL CONSERVATION & MANAGEMENT,546
2021/2022,ESTATE MANAGEMENT & VALUATION,546
2021/2022,EXPORT AGRICULTURE,546
2021/2022,FACILITIES MANAGEMENT,546
2021/2022,FASHION DESIGN & PRODUCT DEVELOPMENT,546
2021/2022,FILM & TELEVISION STUDIES,546
2021/2022,FINANCIAL ECONOMICS,546
2021/2022,FINANCIAL ENGINEERING,546
2021/2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,546
2021/2022,FISHERIES & MARINE SCIENCES,546
2021/2022,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],546
2021/2022,FOOD BUSINESS MANAGEMENT [Commerce Stream],546
2021/2022,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,546
2021/2022,FOOD SCIENCE & NUTRITION,546
2021/2022,FOOD SCIENCE & TECHNOLOGY,546
2021/2022,GEOGRAPHICAL INFORMATION SCIENCE,546
2021/2022,GREEN TECHNOLOGY,546
2021/2022,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY,546
2021/2022,HEALTH PROMOTION,546
2021/2022,HEALTH TOURISM AND HOSPITALITY MANAGEMENT,546
2021/2022,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",546
2021/2022,HUMAN RESOURCE DEVELOPMENT,546
2021/2022,INDIGENOUS MEDICINAL RESOURCES,546
2021/2022,INDIGENOUS PHARMACEUTICAL TECHNOLOGY,546
2021/2022,INDUSTRIAL INFORMATION TECHNOLOGY,546
2021/2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,546
2021/2022,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),546
2021/2022,INFORMATION COMMUNICATION TECHNOLOGY,546
2021/2022,INFORMATION SYSTEMS,546
2021/2022,INFORMATION TECHNOLOGY & MANAGEMENT,546
2021/2022,INFORMATION TECHNOLOGY (IT),546
2021/2022,ISLAMIC STUDIES,546
2021/2022,LANDSCAPE ARCHITECTURE,546
2021/2022,LAW,546
2021/2022,MANAGEMENT,546
2021/2022,MANAGEMENT (PUBLIC) HONOURS,546
2021/2022,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),546
2021/2022,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),546
2021/2022,MANAGEMENT STUDIES (TV) - A [Commerce Stream],546
2021/2022,MANAGEMENT STUDIES (TV) - B [Any subject combination],546
2021/2022,MARINE AND FRESHWATER SCIENCES,546
2021/2022,MEDICAL LABORATORY SCIENCES,546
2021/2022,MEDICINE,546
2021/2022,MINERAL RESOURCES AND TECHNOLOGY,546
2021/2022,MUSIC,546
2021/2022,NURSING,546
2021/2022,OCCUPATIONAL THERAPY,546
2021/2022,OPTOMETRY,546
2021/2022,PALM AND LATEX TECHNOLOGY & VALUE ADDITION,546
2021/2022,PEACE & CONFLICT RESOLUTION,546
2021/2022,PHARMACY,546
2021/2022,PHYSICAL EDUCATION,546
2021/2022,PHYSICAL SCIENCE,546
2021/2022,PHYSICAL SCIENCE -ICT,546
2021/2022,PHYSIOTHERAPY,546
2021/2022,PROJECT MANAGEMENT,546
2021/2022,QUANTITY SURVEYING,546
2021/2022,RADIOGRAPHY,546
2021/2022,SCIENCE AND TECHNOLOGY,546
2021/2022,SIDDHA MEDICINE & SURGERY,546
2021/2022,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,546
2021/2022,SOCIAL WORK,546
2021/2022,SOFTWARE ENGINEERING,546
2021/2022,SPEECH AND HEARING SCIENCES,546
2021/2022,SPORTS SCIENCE & MANAGEMENT,546
2021/2022,STATISTICS & OPERATIONS RESEARCH,546
2021/2022,SURVEYING SCIENCE,546
2021/2022,TEA TECHNOLOGY & VALUE ADDITION,546
2021/2022,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),546
2021/2022,TOURISM & HOSPITALITY MANAGEMENT,546
2021/2022,TOWN & COUNTRY PLANNING,546
2021/2022,TRANSLATION STUDIES,546
2021/2022,TRANSPORT MANAGEMENT & LOGISTICS ENGINEERING (TMLE),546
2021/2022,UNANI MEDICINE & SURGERY,546
2021/2022,URBAN BIORESOURCES,546
2021/2022,VETERINARY SCIENCE,546
2021/2022,VISUAL & TECHNOLOGICAL ARTS,546
2021/2022,VISUAL ARTS,546
2021/2022,YOGA AND PARAPSYCHOLOGY,546
2022/2023,ACCOUNTING INFORMATION SYSTEMS,562
2022/2023,AGRI BUSINESS MANAGEMENT,562
2022/2023,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,562
2022/2023,AGRICULTURAL TECHNOLOGY & MANAGEMENT,562
2022/2023,AGRICULTURE,562
2022/2023,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,562
2022/2023,ANIMAL SCIENCE & FISHERIES,562
2022/2023,APPLIED CHEMISTRY,562
2022/2023,APPLIED SCIENCES (BIO.SC),562
2022/2023,APPLIED SCIENCES (PHY.SC),562
2022/2023,AQUATIC BIORESOURCES,562
2022/2023,AQUATIC RESOURCES TECHNOLOGY,562
2022/2023,ARABIC LANGUAGE,562
2022/2023,ARCHITECTURE,562
2022/2023,ART & DESIGN,562
2022/2023,ARTIFICIAL INTELLIGENCE,562
2022/2023,ARTS,562
2022/2023,ARTS (SAB) - A [Arts Stream],562
2022/2023,ARTS (SAB) - B [Commerce Stream],562
2022/2023,ARTS (SP) / MASS MEDIA,562
2022/2023,ARTS (SP) / PERFORMING ARTS,562
2022/2023,ARTS-INFORMATION TECHNOLOGY,562
2022/2023,AYURVEDIC MEDICINE & SURGERY,562
2022/2023,BANKING & INSURANCE,562
2022/2023,BIOCHEMISTRY & MOLECULAR BIOLOGY,562
2022/2023,BIOLOGICAL SCIENCE,562
2022/2023,BIOMEDICAL TECHNOLOGY,562
2022/2023,BIOSYSTEMS TECHNOLOGY (BST),562
2022/2023,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),562
2022/2023,BUSINESS SCIENCE,562
2022/2023,COMMERCE,562
2022/2023,COMMUNICATION STUDIES,562
2022/2023,COMPUTER SCIENCE,562
2022/2023,COMPUTER SCIENCE & TECHNOLOGY,562
2022/2023,COMPUTING & INFORMATION SYSTEMS,562
2022/2023,CREATIVE MUSIC TECHNOLOGY & PRODUCTION,562
2022/2023,DANCE,562
2022/2023,DATA SCIENCE,562
2022/2023,DENTAL SURGERY,562
2022/2023,DESIGN,562
2022/2023,DRAMA & THEATRE,562
2022/2023,ELECTRONICS AND COMPUTER SCIENCE,562
2022/2023,ENGINEERING,562
2022/2023,ENGINEERING (EM),562
2022/2023,ENGINEERING (TM),562
2022/2023,ENGINEERING TECHNOLOGY (ET),562
2022/2023,ENGLISH LANGUAGE & APPLIED LINGUISTICS,562
2022/2023,ENTREPRENEURSHIP AND MANAGEMENT,562
2022/2023,ENVIRONMENTAL CONSERVATION & MANAGEMENT,562
2022/2023,EXPORT AGRICULTURE,562
2022/2023,FACILITIES MANAGEMENT,562
2022/2023,FASHION DESIGN & PRODUCT DEVELOPMENT,562
2022/2023,FILM & TELEVISION STUDIES,562
2022/2023,FINANCIAL ECONOMICS,562
2022/2023,FINANCIAL ENGINEERING,562
2022/2023,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,562
2022/2023,FISHERIES & MARINE SCIENCES,562
2022/2023,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],562
2022/2023,FOOD BUSINESS MANAGEMENT [Commerce Stream],562
2022/2023,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,562
2022/2023,FOOD SCIENCE & NUTRITION,562
2022/2023,FOOD SCIENCE & TECHNOLOGY,562
2022/2023,GEOGRAPHICAL INFORMATION SCIENCE,562
2022/2023,GREEN TECHNOLOGY,562
2022/2023,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY,562
2022/2023,HEALTH PROMOTION,562
2022/2023,HEALTH TOURISM AND HOSPITALITY MANAGEMENT,562
2022/2023,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",562
2022/2023,HUMAN RESOURCE DEVELOPMENT,562
2022/2023,INDIGENOUS MEDICINAL RESOURCES,562
2022/2023,INDIGENOUS PHARMACEUTICAL TECHNOLOGY,562
